"""LOCATION";"""INDICATOR""";"""SUBJECT""";"""MEASURE""";"""FREQUENCY""";"""TIME""";"""Value""";"""Flag Codes"""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-07""";9.626.966;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-08""";9.602.863;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-09""";9.580.721;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-10""";9.557.685;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-11""";9.544.646;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-12""";9.541.589;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-01""";9.550.625;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-02""";9.563.148;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-03""";9.582.607;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-04""";9.611.968;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-05""";9.634.273;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-06""";9.646.862;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-07""";9.654.977;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-08""";9.659.168;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-09""";9.663.084;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-10""";9.669.275;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-11""";9.675.277;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-12""";9.683.324;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-01""";9.694.347;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-02""";969.992;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-03""";9.703.042;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-04""";9.712.563;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-05""";9.724.162;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-06""";9.742.628;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-07""";9.770.254;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-08""";9.788.377;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-09""";9.793.349;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-10""";9.794.312;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-11""";9.808.228;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-12""";9.843.016;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-01""";9.899.539;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-02""";9.936.809;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-03""";9.958.564;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-04""";9.971.228;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-05""";9.984.416;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-06""";1.000.781;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-07""";1.003.638;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-08""";1.005.243;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-09""";1.006.221;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-10""";100.767;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-11""";1.009.068;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-12""";1.010.484;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-01""";1.012.133;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-02""";1.013.114;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-03""";1.013.744;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-04""";1.013.935;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-05""";1.014.952;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-06""";1.015.403;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-07""";1.014.677;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-08""";1.013.445;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-09""";1.012.163;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-10""";1.011.664;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-11""";1.011.425;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-12""";1.011.171;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-01""";1.010.643;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-02""";1.010.168;""""
